player,team,season,TOI,position,xPKS,PKS,Rank
Lucas Raymond,DET,20242025,60.0,L,-2.6,5.5,205
Alex Killorn,ANA,20242025,154.86666666667,L,-2.6,-7.2,206
Adrian Kempe,L.A,20242025,113.93333333333,R,-2.9,1.7,207
Travis Sanheim,PHI,20242025,184.28333333333,D,-3.0,7.3,208
Jordan Greenway,BUF,20242025,81.466666666667,L,-3.1,-10.1,209
Victor Hedman,T.B,20242025,120.13333333333,D,-3.3,7.8,210
Cody Glass,"N.J, PIT",20242025,78.2,C,-3.4,3.2,211
Nathan Walker,STL,20242025,53.533333333333,L,-3.4,-18.3,212
Tyler Myers,VAN,20242025,152.73333333333,D,-3.7,6.6,213
Vladislav Namestnikov,WPG,20242025,55.833333333333,C,-3.9,-6.7,214
Noah Dobson,NYI,20242025,48.483333333333,D,-3.9,-0.4,215
Colin Blackwell,DAL,20242025,113.38333333333,C,-3.9,2.6,216
Simon Edvinsson,DET,20242025,120.36666666667,D,-4.1,-20.0,217
John Carlson,WSH,20242025,213.9,D,-4.4,8.1,218
Chris Tanev,TOR,20242025,174.95,D,-4.5,3.3,219
Juuso Valimaki,UTA,20242025,44.0,D,-4.5,-13.1,220
Nicolas Hague,VGK,20242025,65.083333333333,D,-4.5,3.7,221
Gustav Forsling,FLA,20242025,215.08333333333,D,-4.5,13.6,222
Martin Fehervary,WSH,20242025,232.61666666667,D,-4.5,10.6,223
Ryan Graves,PIT,20242025,92.733333333333,D,-4.7,-12.0,224
Brian Dumoulin,"ANA, N.J",20242025,166.0,D,-4.7,-3.6,225
Tyler Tucker,STL,20242025,33.983333333333,D,-4.9,9.3,226
Mika Zibanejad,NYR,20242025,157.4,C,-5.0,13.6,227
Vincent Trocheck,NYR,20242025,177.25,C,-5.2,4.5,228
Neal Pionk,WPG,20242025,119.05,D,-5.3,-4.5,229
Johnathan Kovacevic,N.J,20242025,193.7,D,-5.3,6.8,230
Roman Josi,NSH,20242025,70.716666666667,D,-5.3,6.2,231
Devon Toews,COL,20242025,170.66666666667,D,-5.3,2.1,232
Artem Zub,OTT,20242025,134.18333333333,D,-5.4,3.9,233
Curtis Lazar,N.J,20242025,44.316666666667,C,-5.4,15.9,234
Jakub Lauko,"BOS, MIN",20242025,50.533333333333,C,-5.6,0.2,235
Parker Kelly,COL,20242025,148.28333333333,C,-5.6,2.3,236
Frank Vatrano,ANA,20242025,60.633333333333,R,-5.6,-4.5,237
Dmitry Orlov,CAR,20242025,148.43333333333,D,-5.6,8.6,238
Brandon Hagel,T.B,20242025,149.83333333333,L,-5.7,7.9,239
Josh Norris,"BUF, OTT",20242025,122.06666666667,C,-5.8,7.6,240
Ryan Lindgren,"COL, NYR",20242025,171.23333333333,D,-6.1,7.7,241
Alex Vlasic,CHI,20242025,210.5,D,-6.1,2.4,242
Alexander Romanov,NYI,20242025,121.6,D,-6.2,1.0,243
Nicolas Roy,VGK,20242025,55.016666666667,C,-6.2,-12.6,244
Filip Hronek,VAN,20242025,137.88333333333,D,-6.2,-1.7,245
Jared McCann,SEA,20242025,121.55,L,-6.5,-4.0,246
Ryan Shea,PIT,20242025,64.783333333333,D,-6.5,8.8,247
Alex Pietrangelo,VGK,20242025,139.35,D,-6.5,0.5,248
Shane Pinto,OTT,20242025,133.9,C,-6.6,7.8,249
Collin Graf,S.J,20242025,64.366666666667,R,-6.6,-1.2,250
Noah Juulsen,VAN,20242025,80.683333333333,D,-6.6,4.7,251
Jake McCabe,TOR,20242025,158.71666666667,D,-6.7,-0.4,252
Dylan DeMelo,WPG,20242025,166.06666666667,D,-6.7,5.7,253
Joel Kiviranta,COL,20242025,110.71666666667,L,-6.7,9.7,254
Teddy Blueger,VAN,20242025,165.88333333333,C,-6.9,15.4,255
Adam Lowry,WPG,20242025,137.45,C,-6.9,8.0,256
Pontus Holmberg,TOR,20242025,57.183333333333,R,-7.0,-4.7,257
Moritz Seider,DET,20242025,157.46666666667,D,-7.0,-20.0,258
Jean-Gabriel Pageau,NYI,20242025,131.63333333333,C,-7.1,3.4,259
Arber Xhekaj,MTL,20242025,63.45,D,-7.2,8.9,260
Connor Murphy,CHI,20242025,153.8,D,-7.2,10.8,261
William Eklund,S.J,20242025,90.7,L,-7.3,8.1,262
Jason Dickinson,CHI,20242025,141.66666666667,C,-7.3,-3.9,263
Oskar Back,DAL,20242025,106.65,C,-7.4,5.6,264
Christian Dvorak,MTL,20242025,178.7,C,-7.4,1.6,265
Thomas Chabot,OTT,20242025,148.78333333333,D,-7.5,9.9,266
Alexandre Carrier,"MTL, NSH",20242025,152.11666666667,D,-7.5,7.8,267
Ryker Evans,SEA,20242025,67.933333333333,D,-7.5,2.8,268
Noel Acciari,PIT,20242025,178.31666666667,C,-7.5,-3.5,269
Ivan Provorov,CBJ,20242025,202.03333333333,D,-7.5,4.4,270
Cale Makar,COL,20242025,164.13333333333,D,-7.6,-4.2,271
Matthew Knies,TOR,20242025,105.35,L,-7.7,5.6,272
Radko Gudas,ANA,20242025,192.3,D,-7.7,-10.6,273
Dylan Cozens,"BUF, OTT",20242025,47.7,C,-7.7,-18.5,274
Jack St. Ivany,PIT,20242025,40.866666666667,D,-7.9,-7.1,275
Rasmus Dahlin,BUF,20242025,49.9,D,-8.2,5.1,276
Noah Hanifin,VGK,20242025,75.666666666667,D,-8.4,5.0,277
Pius Suter,VAN,20242025,176.6,C,-8.4,12.8,278
Jake Middleton,MIN,20242025,132.3,D,-8.6,-8.1,279
Joel Armia,MTL,20242025,200.51666666667,R,-8.6,10.1,280
Adam Henrique,EDM,20242025,124.18333333333,C,-8.6,-1.4,281
Connor Dewar,"PIT, TOR",20242025,74.216666666667,C,-8.6,9.5,282
Ryan Nugent-Hopkins,EDM,20242025,128.81666666667,C,-8.7,-7.9,283
Nico Sturm,"FLA, S.J",20242025,74.85,C,-8.7,-12.3,284
Mario Ferraro,S.J,20242025,201.58333333333,D,-8.8,-3.7,285
Elias Lindholm,BOS,20242025,136.95,C,-8.8,1.7,286
Sam Reinhart,FLA,20242025,116.71666666667,C,-8.8,1.0,287
Pavel Mintyukov,ANA,20242025,57.283333333333,D,-9.0,-3.3,288
Dawson Mercer,N.J,20242025,157.6,C,-9.0,-2.8,289
Josh Anderson,MTL,20242025,141.0,R,-9.2,-0.1,290
Jack Eichel,VGK,20242025,110.71666666667,C,-9.2,-8.3,291
Jake Evans,MTL,20242025,219.13333333333,C,-9.2,8.3,292
Mitchell Stephens,SEA,20242025,38.6,C,-9.4,-8.3,293
Radek Faksa,STL,20242025,89.016666666667,C,-9.8,-1.9,294
Parker Wotherspoon,BOS,20242025,70.116666666667,D,-9.8,12.8,295
Chris Kreider,NYR,20242025,115.13333333333,L,-9.8,-5.7,296
Colton Sissons,NSH,20242025,144.26666666667,C,-9.8,0.2,297
Simon Holmstrom,NYI,20242025,103.5,R,-10.0,1.5,298
Ryan Pulock,NYI,20242025,155.01666666667,D,-10.1,-1.3,299
Sean Kuraly,CBJ,20242025,71.6,C,-10.1,-7.9,300
Brock McGinn,ANA,20242025,40.8,L,-10.1,-20.0,301
Alec Martinez,CHI,20242025,60.383333333333,D,-10.2,4.5,302
Brenden Dillon,N.J,20242025,208.81666666667,D,-10.2,10.0,303
Will Borgen,"NYR, SEA",20242025,106.48333333333,D,-10.2,4.6,304
Claude Giroux,OTT,20242025,182.8,R,-10.4,8.2,305
Barclay Goodrow,S.J,20242025,149.01666666667,C,-10.4,0.0,306
Pierre-Olivier Joseph,"PIT, STL",20242025,45.55,D,-10.6,-13.4,307
Mikael Granlund,"DAL, S.J",20242025,121.86666666667,C,-10.7,-7.9,308
Brett Howden,VGK,20242025,82.333333333333,C,-10.7,-1.6,309
Ilya Lyubushkin,DAL,20242025,178.51666666667,D,-10.8,-1.7,310
Nico Hischier,N.J,20242025,146.26666666667,C,-10.8,-3.3,311
Ryan Poehling,PHI,20242025,96.75,C,-10.8,4.7,312
Brett Leason,ANA,20242025,104.15,R,-10.9,1.7,313
Erik Gudbranson,CBJ,20242025,38.933333333333,D,-11.0,10.8,314
Ridly Greig,OTT,20242025,135.25,C,-11.0,-0.2,315
Marco Kasper,DET,20242025,44.916666666667,C,-11.2,-6.8,316
Simon Benoit,TOR,20242025,156.21666666667,D,-11.2,-4.2,317
Blake Coleman,CGY,20242025,156.1,"C, L",-11.2,1.3,318
Logan Cooley,UTA,20242025,84.15,C,-11.3,9.0,319
Owen Pickering,PIT,20242025,33.4,D,-11.5,-7.1,320
Zach Werenski,CBJ,20242025,129.16666666667,D,-11.6,5.6,321
Adam Fox,NYR,20242025,143.93333333333,D,-11.9,1.2,322
Justin Holl,DET,20242025,87.433333333333,D,-11.9,-2.9,323
Pavel Buchnevich,STL,20242025,80.616666666667,L,-12.1,-2.6,324
John Marino,UTA,20242025,68.233333333333,D,-12.2,-3.8,325
Dante Fabbro,"CBJ, NSH",20242025,101.6,D,-12.2,2.7,326
Aleksander Barkov,FLA,20242025,95.25,C,-12.4,5.8,327
Brock Faber,MIN,20242025,152.48333333333,D,-12.4,-8.0,328
Jeremy Lauzon,NSH,20242025,72.116666666667,D,-12.5,10.4,329
Jake Sanderson,OTT,20242025,196.58333333333,D,-12.5,-1.4,330
Scott Mayfield,NYI,20242025,105.15,D,-12.5,-10.9,331
Jack McBain,UTA,20242025,115.63333333333,C,-12.6,9.4,332
Dylan Larkin,DET,20242025,88.133333333333,C,-12.6,-18.5,333
Aaron Ekblad,FLA,20242025,127.85,D,-12.7,9.0,334
Philippe Myers,TOR,20242025,36.75,D,-12.8,-20.0,335
Anthony Cirelli,T.B,20242025,155.33333333333,C,-13.4,6.7,336
Sean Durzi,UTA,20242025,36.5,D,-13.5,-9.1,337
Mikhail Sergachev,UTA,20242025,217.5,D,-13.7,3.6,338
Isac Lundestrom,ANA,20242025,188.5,C,-13.7,-2.2,339
Teuvo Teravainen,CHI,20242025,103.4,C,-14.0,13.6,340
Boone Jenner,CBJ,20242025,38.133333333333,C,-14.0,-10.4,341
Nick Jensen,OTT,20242025,135.01666666667,D,-14.0,2.1,342
Travis Hamonic,OTT,20242025,89.433333333333,D,-14.1,-4.9,343
Matthew Highmore,OTT,20242025,55.866666666667,C,-14.1,-8.2,344
Cody Ceci,"DAL, S.J",20242025,200.7,D,-14.3,2.2,345
Jonas Brodin,MIN,20242025,83.366666666667,D,-14.3,-11.0,346
Haydn Fleury,WPG,20242025,51.883333333333,D,-14.3,-4.3,347
Cam York,PHI,20242025,123.7,D,-14.3,6.3,348
Carson Soucy,"NYR, VAN",20242025,130.55,D,-14.4,-2.3,349
John Beecher,BOS,20242025,116.26666666667,C,-14.5,-11.5,350
Cole Koepke,BOS,20242025,53.033333333333,L,-14.6,-20.0,351
Adam Larsson,SEA,20242025,214.0,D,-14.8,-2.6,352
Henry Thrun,S.J,20242025,69.8,D,-14.8,-5.2,353
Jack Johnson,CBJ,20242025,62.433333333333,D,-15.1,4.3,354
David Savard,MTL,20242025,223.61666666667,D,-15.2,-1.0,355
Jan Rutta,S.J,20242025,94.9,D,-15.2,1.9,356
Nick Foligno,CHI,20242025,172.03333333333,L,-15.3,-3.0,357
Mike Matheson,MTL,20242025,262.06666666667,D,-15.4,-0.8,358
Ian Cole,UTA,20242025,219.9,D,-15.5,-3.6,359
Auston Matthews,TOR,20242025,106.41666666667,C,-15.5,-1.8,360
Yanni Gourde,"SEA, T.B",20242025,61.65,C,-15.7,-20.0,361
Frederick Gaudreau,MIN,20242025,141.41666666667,C,-16.1,-16.1,362
Colton Parayko,STL,20242025,136.51666666667,D,-16.1,-13.6,363
Mitch Marner,TOR,20242025,165.33333333333,R,-16.3,2.3,364
Mark Stone,VGK,20242025,74.716666666667,R,-16.7,-0.6,365
Brandon Tanev,"SEA, WPG",20242025,153.01666666667,L,-16.9,-5.7,366
Bryan Rust,PIT,20242025,84.083333333333,R,-16.9,-20.0,367
Joe Veleno,"CHI, DET",20242025,40.083333333333,C,-17.2,-11.2,368
Rasmus Andersson,CGY,20242025,190.41666666667,D,-17.3,-8.5,369
Kevin Bahl,CGY,20242025,172.38333333333,D,-17.3,-4.6,370
Peyton Krebs,BUF,20242025,43.6,C,-17.5,-8.8,371
Ben Chiarot,DET,20242025,138.65,D,-17.6,-8.8,372
Robert Thomas,STL,20242025,89.466666666667,C,-17.7,-8.8,373
J.T. Compher,DET,20242025,117.65,L,-17.7,-19.0,374
Joel Eriksson Ek,MIN,20242025,78.9,C,-17.9,-17.7,375
Adam Pelech,NYI,20242025,113.63333333333,D,-18.1,1.9,376
Rasmus Kupari,WPG,20242025,63.316666666667,C,-18.1,-20.0,377
Kevin Stenlund,UTA,20242025,205.06666666667,C,-18.2,-0.1,378
Jamie Oleksiak,SEA,20242025,210.95,D,-18.5,-5.7,379
Alexander Kerfoot,UTA,20242025,194.0,C,-18.6,-1.6,380
Bo Horvat,NYI,20242025,86.933333333333,C,-19.6,-12.7,381
Chandler Stephenson,SEA,20242025,149.8,C,-19.6,-5.2,382
Frank Nazar,CHI,20242025,51.616666666667,C,-19.6,-5.5,383
Justin Danforth,CBJ,20242025,98.45,R,-20.0,-12.7,384
Cole Sillinger,CBJ,20242025,89.116666666667,C,-20.0,-6.4,385
Michael Kesselring,UTA,20242025,34.433333333333,D,-20.0,-20.0,386
Timothy Liljegren,"S.J, TOR",20242025,32.8,D,-20.0,-20.0,387
Zach Aston-Reese,CBJ,20242025,90.133333333333,C,-20.0,-11.1,388
Anze Kopitar,L.A,20242025,80.95,C,-20.0,-11.6,389
Alexander Wennberg,S.J,20242025,106.53333333333,C,-20.0,-16.1,390
Kyle Palmieri,NYI,20242025,84.383333333333,C,-20.0,7.0,391
Ty Dellandrea,S.J,20242025,72.866666666667,C,-20.0,-6.8,392
Michael Rasmussen,DET,20242025,64.016666666667,C,-20.0,-20.0,393
J.T. Miller,"NYR, VAN",20242025,74.016666666667,C,-20.0,-6.8,394
Cam Fowler,"ANA, STL",20242025,75.066666666667,D,-20.0,-20.0,395
Brock Nelson,"COL, NYI",20242025,74.283333333333,C,-20.0,-6.6,396
Urho Vaakanainen,"ANA, NYR",20242025,44.483333333333,D,-20.0,12.1,397
Mikael Backlund,CGY,20242025,163.5,C,-20.0,-5.6,398
Henri Jokiharju,"BOS, BUF",20242025,49.616666666667,D,-20.0,9.1,399
Noah Gregor,"OTT, S.J",20242025,42.65,L,-20.0,-3.4,400
Robby Fabbri,ANA,20242025,40.733333333333,C,-20.0,-20.0,401
Brayden Schenn,STL,20242025,42.0,C,-20.0,-20.0,402
Nick Schmaltz,UTA,20242025,37.183333333333,C,-20.0,-3.4,403
Christian Fischer,"CBJ, DET",20242025,31.116666666667,R,-20.0,-20.0,404
